pair1,pair2,study,species
37M,43F,Wilmers,Puma concolor
PEC091,PEC092,Wheeldon,Canis latrans
beverly,constance,Gustavo,Dataset1
150552,150681,Gustavo,Cerdocyon thous
W97141,W97362,GreatLakesWolf,Canis lupus x lycaon
B10F_5972,B19F_5971,Serieys,CoyoteValley
PEC059,PEC095,Wheeldon,Canis latrans
B15M_5612,B17F_5621,Serieys,CoyoteValley
PEC007,PEC009,Wheeldon,Canis latrans
PEC041,PEC049,Wheeldon,Canis latrans
NCF3,NCM5,Bogdan,Caracal caracal
NCF3,NCF4,Bogdan,Caracal caracal
